visit_id,user_id,channel_id,platform,stat_date,pv,click,quit,stay_duration
6686,USER0115,QD1004,Android,2015-09-01,10,6,4,1656
7879,USER0116,QD1015,IOS,2015-09-01,6,5,4,648
5401,USER0117,QD1013,Android,2015-09-01,14,5,4,1512
1908,USER0118,QD1015,IOS,2015-09-01,12,2,4,1728
5661,USER0119,QD1003,IOS,2015-09-01,9,5,4,1548
2997,USER0120,QD1006,移动浏览器,2015-09-01,12,3,4,1440
3790,USER0121,QD1014,Android,2015-09-02,12,3,4,1008
1575,USER0122,QD1020,Android,2015-09-02,15,2,4,1260
8970,USER0123,QD1011,Android,2015-09-03,10,2,4,396
4078,USER0124,QD1011,IOS,2015-09-03,8,2,4,432
7891,USER0125,QD1009,IOS,2015-09-03,14,3,4,1116
1071,USER0126,QD1003,IOS,2015-09-03,12,5,4,288
7460,USER0127,QD1009,移动浏览器,2015-09-03,8,6,4,756
3349,USER0128,QD1019,IOS,2015-09-04,10,1,4,648
4432,USER0129,QD1020,Android,2015-09-04,14,1,4,792
8661,USER0130,QD1016,Android,2015-09-04,6,5,4,396
5844,USER0131,QD1011,IOS,2015-09-04,10,5,4,1584
6636,USER0132,QD1020,Android,2015-09-04,6,5,4,720
6856,USER0133,QD1005,IOS,2015-09-04,11,2,4,720
4528,USER0134,QD1018,IOS,2015-09-04,7,5,4,1800
8051,USER0135,QD1016,IOS,2015-09-04,14,5,4,792
2765,USER0136,QD1020,IOS,2015-09-04,11,1,4,324
9441,USER0137,QD1016,移动浏览器,2015-09-04,9,4,5,360
4756,USER0138,QD1005,IOS,2015-09-05,9,5,4,792
9540,USER0139,QD1008,Android,2015-09-05,9,4,4,216
5781,USER0140,QD1003,Android,2015-09-05,10,6,4,396
2280,USER0141,QD1006,Android,2015-09-05,11,3,4,828
6596,USER0142,QD1001,Android,2015-09-05,10,4,4,864
1748,USER0143,QD1015,IOS,2015-09-05,6,4,4,756
2110,USER0144,QD1020,IOS,2015-09-05,9,6,4,72
9746,USER0145,QD1012,IOS,2015-09-06,11,5,4,324
8078,USER0146,QD1013,Android,2015-09-06,13,6,4,504
6676,USER0147,QD1020,IOS,2015-09-06,8,3,4,1044
6658,USER0148,QD1019,IOS,2015-09-07,14,4,4,1548
2698,USER0149,QD1005,移动浏览器,2015-09-07,8,2,4,432
8106,USER0150,QD1011,Android,2015-09-08,6,5,4,612
8696,USER0151,QD1019,Android,2015-09-08,6,5,4,612
6797,USER0152,QD1019,移动浏览器,2015-09-08,14,2,4,108
4607,USER0153,QD1017,移动浏览器,2015-09-08,9,1,4,1764
8073,USER0154,QD1021,IOS,2015-09-09,5,1,4,1332
7945,USER0155,QD1008,IOS,2015-09-09,12,1,4,144
6260,USER0156,QD1017,Android,2015-09-09,12,6,4,1152
6518,USER0157,QD1018,IOS,2015-09-09,13,2,4,900
3418,USER0158,QD1002,IOS,2015-09-09,6,4,4,756
3551,USER0159,QD1014,IOS,2015-09-09,15,6,4,1764
4427,USER0160,QD1013,IOS,2015-09-09,8,4,4,324
3647,USER0161,QD1013,移动浏览器,2015-09-09,15,3,4,1548
3821,USER0162,QD1012,移动浏览器,2015-09-09,9,2,4,1116
1028,USER0163,QD1015,IOS,2015-09-10,7,6,4,1764
1518,USER0164,QD1016,Android,2015-09-10,10,5,4,1260
2073,USER0165,QD1003,IOS,2015-09-10,7,2,4,1116
1072,USER0166,QD1016,IOS,2015-09-10,13,4,4,648
3284,USER0167,QD1013,IOS,2015-09-10,6,5,4,612
9721,USER0168,QD1016,IOS,2015-09-10,7,1,4,612
4272,USER0169,QD1014,IOS,2015-09-10,10,5,4,468
7305,USER0170,QD1004,IOS,2015-09-11,11,4,4,900
1672,USER0171,QD1017,IOS,2015-09-11,7,2,4,864
8513,USER0172,QD1018,IOS,2015-09-11,11,5,4,216
4570,USER0173,QD1013,移动浏览器,2015-09-11,6,5,4,72
3727,USER0174,QD1022,移动浏览器,2015-09-11,5,5,5,1332
4719,USER0175,QD1016,IOS,2015-09-12,6,3,4,0
6224,USER0176,QD1022,IOS,2015-09-12,14,2,5,1692
8552,USER0177,QD1001,Android,2015-09-12,13,6,4,1224
4567,USER0178,QD1020,IOS,2015-09-12,9,3,4,180
8001,USER0179,QD1002,IOS,2015-09-12,15,3,4,468
7061,USER0180,QD1016,IOS,2015-09-12,15,5,4,1296
7031,USER0181,QD1015,IOS,2015-09-12,8,2,4,1116
6472,USER0182,QD1002,Android,2015-09-13,13,3,4,612
1200,USER0183,QD1019,Android,2015-09-13,14,3,4,180
4592,USER0184,QD1002,IOS,2015-09-13,7,6,4,0
5144,USER0185,QD1014,IOS,2015-09-13,10,4,4,1008
8031,USER0186,QD1003,IOS,2015-09-13,9,3,4,1512
7395,USER0187,QD1021,IOS,2015-09-13,12,5,4,1656
4303,USER0188,QD1015,IOS,2015-09-13,9,5,4,1044
1048,USER0189,QD1011,移动浏览器,2015-09-13,10,6,4,1152
2167,USER0190,QD1015,移动浏览器,2015-09-13,14,3,4,1152
8134,USER0191,QD1015,Android,2015-09-14,11,1,4,792
5618,USER0192,QD1015,Android,2015-09-14,5,4,4,1728
5647,USER0193,QD1014,IOS,2015-09-14,6,5,4,216
8281,USER0194,QD1006,移动浏览器,2015-09-14,15,4,5,1800
5806,USER0195,QD1018,IOS,2015-09-15,7,2,5,612
8149,USER0196,QD1012,IOS,2015-09-16,13,5,4,36
1742,USER0197,QD1002,IOS,2015-09-16,7,4,4,72
8989,USER0198,QD1011,IOS,2015-09-16,12,4,4,1440
3511,USER0199,QD1006,Android,2015-09-16,9,5,4,972
8753,USER0200,QD1002,Android,2015-09-16,6,1,4,900
8308,USER0201,QD1016,IOS,2015-09-16,8,5,4,936
5217,USER0202,QD1021,移动浏览器,2015-09-16,8,2,4,288
2800,USER0203,QD1003,移动浏览器,2015-09-16,13,6,4,1692
5853,USER0204,QD1017,Android,2015-09-17,7,4,4,612
3390,USER0205,QD1016,Android,2015-09-17,11,1,4,1152
9036,USER0206,QD1015,IOS,2015-09-17,8,2,4,504
